BookFolder,PDFCount,TotalFiles
artifacts/586b7d75cf7d0b82,0,5
artifacts/587b1f3e96b7cea5,0,5
artifacts/5987a02ed46f0ef4,0,5
artifacts/5998fda7422aa9e6,0,5
artifacts/59b588abe6f346b6,0,5
artifacts/59ed9909c0edd800,0,5
artifacts/5a67c0ee2b7f2d0a,0,5
artifacts/5a754452ada37f73,0,5
artifacts/5b601e05cd2ee1be,0,5
artifacts/5b90ccc351a5c543,0,5
artifacts/5beb810d0307d249,0,5
artifacts/5c6e1244b77af7b3,0,5
artifacts/5c96c19b0eafad0f,0,5
artifacts/5ca02ea27e6e03b4,0,5
artifacts/5ce46c90444f4437,0,5
artifacts/5d4339f6cf828e97,0,5
artifacts/5e1b2cc4754e33cc,0,5
artifacts/5f1e2a364410df4b,0,5
artifacts/5f2fde3d5effe432,0,5
artifacts/5f8787d4abc7d1e3,0,5
artifacts/60e08dfe7d802d5b,0,5
artifacts/610a4c48ecaa72bf,0,5
artifacts/611c69e435f38f48,0,5
artifacts/639db5e6858d5305,0,5
artifacts/63a168d1a573e286,0,5
artifacts/63e7c40123a4adfa,0,5
artifacts/646589629b885a6c,0,5
artifacts/646d0ef45a1cd964,0,5
artifacts/65e67ab622789587,0,5
artifacts/6627bc356f005e3f,0,5
artifacts/669cd5bd316d039a,0,2
artifacts/673cff1f970b11d0,0,5
artifacts/67628834be03832c,0,5
artifacts/6784cea978fa9f19,0,5
artifacts/68052b7cc174b0da,0,5
artifacts/68d7c55ceddb23ca,0,5
artifacts/6923ee716523b8a4,0,5
artifacts/69a1c74009bf6e83,0,5
artifacts/69fc57bc1074b50c,0,5
artifacts/6a1975b10de770f9,0,5
artifacts/6abda5fb67cfbf1c,0,5
artifacts/6acc50a420b00463,0,5
artifacts/6b40d9664cb89c29,0,5
artifacts/6c8ddc6c043a12a0,0,5
artifacts/6d2d3d95f1fb90f2,0,2
artifacts/6d9e649012b093c8,0,5
artifacts/6fd80e408d814706,0,5
artifacts/6ff815119a2a8368,0,5
artifacts/7013cd3a7c0bb2ca,0,5
artifacts/70cfe4a99b84bd42,0,2
artifacts/72699da97b7981bf,0,5
artifacts/72db67ff9fad4937,0,2
artifacts/746bfb4011ebaccf,0,5
artifacts/746fad620b3252b7,0,5
artifacts/7500b5ca338d0af1,0,5
artifacts/752b54683e016d27,0,5
artifacts/761c8d1a9461f10f,0,5
artifacts/765d8aeee0c81299,0,5
artifacts/76cffd175fceda6f,0,5
artifacts/76fe6df07e8c95b2,0,5
artifacts/778921a3abc5138d,0,5
artifacts/77a14f6004f123ec,0,2
artifacts/788ec5ec99485d65,0,2
artifacts/789c81e4290c70c6,0,5
artifacts/79707976664b9389,0,5
artifacts/7a618725482401ad,0,5
artifacts/7a93711a5a45338a,0,5
artifacts/7aad8a983d4d9f22,0,5
artifacts/7adfbfc224bdc7d5,0,5
artifacts/7b91b16294985e97,0,5
artifacts/7b9d6e881fa8ea0f,0,5
artifacts/7bc821ae13e05260,0,5
artifacts/7be2c96a546e284d,0,5
artifacts/7c14a1d45baafa86,0,5
artifacts/7c57d649db60739a,0,5
artifacts/7cc232aef376d5ed,0,5
artifacts/7cd641156eca7f37,0,5
artifacts/7d1ea3c21c015813,0,5
artifacts/7d56e969770dacee,0,5
artifacts/7d5cb1414e63c361,0,5
artifacts/7f09b4aaae7d145f,0,5
artifacts/7f1fb7890c82f16b,0,5
artifacts/7f6241201b3f8e2f,0,5
artifacts/825d9d684fbe7575,0,5
artifacts/83419bd2a002eb31,0,5
artifacts/83b1cf9692552765,0,5
artifacts/84c9571103fd36dc,0,5
artifacts/86e908fafb628822,0,5
artifacts/870d52c7a7b7c9b1,0,5
artifacts/875a663a73a722a5,0,5
artifacts/87831fa415d3fc85,0,5
artifacts/87cf60923a3bda7b,0,5
artifacts/8824d81b765f0643,0,5
artifacts/889eccf48d59f6a0,0,5
artifacts/88c93ff9657b2696,0,5
artifacts/88e64f90dab936a8,0,5
artifacts/88efef5d50f54602,0,5
artifacts/8900a3baf69054fc,0,5
artifacts/8a1e53b5b8e54055,0,5
artifacts/8aae8f757bba2b2e,0,5
artifacts/8b25c0f90d998c4c,0,2
artifacts/8b8d83517d9a4b72,0,2
artifacts/8bd7553c3ccea906,0,5
artifacts/8bf0eb8d3daba746,0,5
artifacts/8c5f5cd8b87f64c3,0,5
artifacts/8c8c0771266370ba,0,5
artifacts/8ca2bc2f8a615562,0,5
artifacts/8caed82755576774,0,2
artifacts/8cc564cab4e5c932,0,5
artifacts/8ccfe7e11030f7c6,0,5
artifacts/8d19cd4cabde45e6,0,5
artifacts/8da99992729b9dac,0,5
artifacts/8dfd98e18b3a7740,0,5
artifacts/8e5ac0bec0eeed0f,0,5
artifacts/8e69c06308d7fe26,0,5
artifacts/8e8d6716c3de3c8b,0,5
artifacts/8ff8846e026babfb,0,5
artifacts/900c94ea950cd65d,0,5
artifacts/901f9c3b4eaf76da,0,5
artifacts/90292b9d0fd305ff,0,5
artifacts/910f72ea4d73c184,0,5
artifacts/9149e671200b81da,0,5
artifacts/9197eb3ef2def7a7,0,5
artifacts/91d46a9d5c646954,0,5
artifacts/91f3156679b8246b,0,5
artifacts/9276fed899deaf7b,0,5
artifacts/92a849ad069302cb,0,5
artifacts/93e1ca32d2bf6da8,0,5
artifacts/93f2f0d85109d393,0,5
artifacts/94006c269e2d8151,0,5
artifacts/94505d4e64f1ae52,0,5
artifacts/94cc59e60d6d0e31,0,5
artifacts/9518734e91bae95e,0,5
artifacts/95202e805d4d534b,0,5
artifacts/95bc96e2e889004b,0,5
artifacts/95e2af1589737109,0,5
artifacts/96477834c9b77edc,0,5
artifacts/96c3b8076ad91f58,0,5
artifacts/97b7053529ea2b59,0,2
artifacts/98480e0f330a76dd,0,5
artifacts/9921bd62fa862fe5,0,2
artifacts/995c0ea235ce3a65,0,5
artifacts/99763ed1c8082ed0,0,5
artifacts/99f5dc0137a823b5,0,5
artifacts/9a2c8f69b1a86219,0,2
artifacts/9a885a8438802380,0,5
artifacts/9a9a267c40434856,0,5
artifacts/9ba7068a7e1265f8,0,5
artifacts/9c5b16999b42e151,0,5
artifacts/9c75e93461b34e07,0,5
artifacts/9c9141cd133f01fa,0,5
artifacts/9d2959db638e3a7d,0,5
artifacts/9dc07eda57978839,0,5
artifacts/9dfdb68c2ea9cac8,0,5
artifacts/9e03d13b7f7dbcc1,0,5
artifacts/9e4a91b97328b393,0,5
artifacts/9ee68cf75c0146a2,0,2
artifacts/a13f78e8a4573711,0,5
artifacts/a2367dc3a0c9bbf8,0,5
artifacts/a33192fc640fc893,0,5
artifacts/a343d76dbfabf8a9,0,5
artifacts/a353564249e35142,0,5
artifacts/a356cc0e6094cf1f,0,5
artifacts/a365e9bdf7c94032,0,2
artifacts/a39231574b7ba955,0,5
artifacts/a408f88d278adf30,0,5
artifacts/a471a7e3082a81e8,0,2
artifacts/a47e4116fae24879,0,2
artifacts/a4cf5bf719bb9a67,0,5
artifacts/a696cb25214a58c4,0,5
artifacts/a6f5e53a852828b0,0,5
artifacts/a834bfe09258b825,0,5
artifacts/a99733598db53336,0,5
artifacts/aa0266352575d2ec,0,5
artifacts/aa56a3f6095ca0f6,0,5
artifacts/aa8155e241e9bd0d,0,5
artifacts/aac48b56b8cdf5bc,0,5
artifacts/aae6179b36726557,0,5
artifacts/aaea725347776ebf,0,5
artifacts/ab32c72f759de735,0,5
artifacts/ab4b2c207439c714,0,5
artifacts/ab787a2cbc656a25,0,5
artifacts/abc5ef9b2b7ef938,0,5
artifacts/ac2615667365fe70,0,5
artifacts/ac4f0d9786f1be2f,0,5
artifacts/acdc-anthology,0,5
artifacts/ad64662d42ce9000,0,5
artifacts/ad778be6475cdec2,0,5
artifacts/ad817751b69dcb69,0,5
artifacts/add3cdff7c84db44,0,5
artifacts/adele-19-pvg-book,0,5
artifacts/ae54d74f910e6882,0,5
artifacts/ae8ad209f6399a30,0,5
artifacts/aee5984ec2ab70e9,0,5
artifacts/aerosmith-greatest-hits-songbook,0,5
artifacts/afa15e1e1b7c3dea,0,5
artifacts/allman-brothers-allman-brothers-band-pvg,0,5
artifacts/allman-brothers-band-best-score,0,5
artifacts/allman-brothers-best-of-pvg,0,5
artifacts/america-america-pvg-book,0,5
artifacts/america-greatest-hits,0,5
artifacts/america-greatest-hits-book,0,5
artifacts/asia-alpha-pvg-book,0,5
artifacts/avril-lavigne-the-best-damn-thing-pvg-book,0,5
artifacts/b02f06e700324019,0,5
artifacts/b043f08c0e5ba9a1,0,5
artifacts/b0a9d5d7a077e599,0,5
artifacts/b1281f26c2b67c51,0,5
artifacts/b1284e102391bd1f,0,2
artifacts/b15e90593caa3e71,0,2
artifacts/b171cad063a39758,0,2
artifacts/b21c3e2f1853133b,0,5
artifacts/b26341223329d6e5,0,5
artifacts/b29a42b72a9f36c4,0,5
artifacts/b2bc539514495a56,0,5
artifacts/b2df59d7afce1e21,0,5
artifacts/b30a1023acdabf1f,0,5
artifacts/b3752238a2bd7bea,0,5
artifacts/b380d1f3d57899bb,0,5
artifacts/b53be406d675e16a,0,5
artifacts/b5594764fd399dc4,0,5
artifacts/b6366df56400d2e6,0,5
artifacts/b636a1bbd82e8f51,0,5
artifacts/b67213295c365186,0,5
artifacts/b72d254ea2e17f11,0,5
artifacts/b75e6d4c9f08c265,0,5
artifacts/b85606e5f92ab51e,0,5
artifacts/b9d1b7ae0f994da0,0,5
artifacts/b9f48e8c497aae37,0,5
artifacts/ba36c4abe232694d,0,5
artifacts/ba6ee82e4aed1afd,0,5
artifacts/ba7b54b95a804da7,0,5
artifacts/barry-manilow-anthology,0,5
artifacts/barry-manilow-barry-manilow-pvg-book,0,5
artifacts/bb3860553d888784,0,5
artifacts/bb55b68f093888cc,0,5
artifacts/bbb087475060be4d,0,5
artifacts/bc3930ae4c12d6ad,0,5
artifacts/bdbb63832fa56044,0,5
artifacts/be4483543da48fd5,0,5
artifacts/be6c75bdf9cb6a13,0,5
artifacts/beatles-100-hits-for-all-keyboards,0,5
artifacts/beatles-abbey-road,0,5
artifacts/beatles-abbey-road-guitar-recorded-version,0,5
artifacts/beatles-abbey-road-scores,0,5
artifacts/beatles-all-songs-1962-1974,0,5
artifacts/beatles-anthology,0,5
artifacts/beatles-anthology-1,0,5
artifacts/beatles-anthology-1-113-pages,0,5
artifacts/beatles-anthology-2-page-01-40,0,5
artifacts/beatles-anthology-2-page-41-72,0,5
artifacts/beatles-anthology-2-page-73-112,0,5
artifacts/beatles-anthology-3-page-01-36,0,5
artifacts/beatles-anthology-3-page-37-79,0,5
artifacts/beatles-anthology-3-page-80-111,0,5
artifacts/beatles-beatlemania-1963-1966,0,5
artifacts/beatles-complete-scores,0,5
artifacts/beatles-complete-scores-2,0,5
artifacts/beatles-essential-songs,0,5
artifacts/beatles-fake-songbook-guitar,0,5
artifacts/beatles-joy-of-beatles,0,5
artifacts/beatles-live-at-the-hollywood-bowl,0,5
artifacts/beatles-live-at-the-hollywood-bowl-2,0,5
artifacts/beatles-revolver,0,5
artifacts/beatles-revolver-2,0,5
artifacts/beatles-rubber-soul,0,5
artifacts/beatles-sergeant-pepper-s-lonely-hearts-club-band,0,5
artifacts/beatles-singles-collection-pvg,0,5
artifacts/beatles-songbook,0,5
artifacts/beatles-white-album-1-guitar-recorded-version,0,5
artifacts/bee-gees-anthology,0,5
artifacts/belinda-carlisle-5-of-the-best-pvg,0,5
artifacts/ben-folds-ben-folds-five-rockin-the-suburbs,0,5
artifacts/ben-folds-ben-folds-five-selections-from-naked-baby-photos-score,0,5
artifacts/ben-folds-ben-folds-five-whatever-and-ever-amen-book,0,5
artifacts/ben-folds-rockin-the-suburbs-book,0,5
artifacts/ben-folds-songs-for-silverman,0,5
artifacts/ben-folds-songs-for-the-silverman,0,5
artifacts/bf06d09a619e5163,0,5
artifacts/bfa89d24fea533fc,0,5
artifacts/billy-joel---anthology,0,5
artifacts/billy-joel---fantasies--delusions,0,5
artifacts/billy-joel---glass-houses,0,5
artifacts/billy-joel---greatest-hits,0,5
artifacts/billy-joel---keyboard-book,0,5
artifacts/billy-joel-52nd-street,0,5
artifacts/billy-joel-52nd-street-v2,0,5
artifacts/billy-joel-advanced-piano,0,5
artifacts/billy-joel-anthology,0,5
artifacts/billy-joel-best-of-piano-solos,0,5
artifacts/billy-joel-best-piano-solos,0,5
artifacts/billy-joel-billy-joel-greatest-hits-vols-1-and-2,0,5
artifacts/billy-joel-billy-joel-greatest-hits-vols-1-and-2-0001,0,5
artifacts/billy-joel-complete-vol-1,0,5
artifacts/billy-joel-complete-vol-2,0,5
artifacts/billy-joel-complete-vol1,0,5
artifacts/billy-joel-complete-vol2,0,5
artifacts/billy-joel-fantasies-delusions,0,5
artifacts/billy-joel-for-advanced-piano,0,5
artifacts/billy-joel-glass-houses,0,5
artifacts/billy-joel-greatest-hits,0,5
artifacts/billy-joel-greatest-hits-1-2,0,5
artifacts/billy-joel-greatest-hits-3,0,5
artifacts/billy-joel-greatest-hits-vol-i-and-ii,0,5
artifacts/billy-joel-greatest-hits-vol-iii,0,5
artifacts/billy-joel-keyboard-book,0,5
artifacts/billy-joel-my-lives,0,5
artifacts/billy-joel-rock-score,0,5
artifacts/billy-joel-songs-attic,0,2
artifacts/billy-joel-songs-in-the-attic,0,5
artifacts/billy-joel-turnstiles,0,5
artifacts/billy-ocean-the-best-of,0,5
artifacts/black-eyed-peas-elephunk-pvg-book,0,5
artifacts/blues-brothers-complete,0,5
artifacts/bob-dylan-anthology,0,5
artifacts/bob-dylan-anthology-1,0,5
artifacts/bob-dylan-anthology-2,0,5
artifacts/bob-dylan-basement-tapes-pvg,0,5
artifacts/bob-dylan-blonde-on-blonde,0,5
artifacts/bob-dylan-collection,0,5
artifacts/bob-dylan-desire,0,5
artifacts/bob-dylan-finger-picking,0,5
artifacts/bob-dylan-highway-61-revisited,0,5
artifacts/bob-dylan-nashville-skyline,0,2
artifacts/bob-dylan-rock-score,0,5
artifacts/bob-dylan-saved,0,5
artifacts/bob-dylan-songbook,0,5
artifacts/bob-dylan-the-harp-styles-of-bob-dylan-harmonica,0,5
artifacts/bob-seger-greatest-hits,0,5
artifacts/bob-seger-the-new-best-of-bob-seger,0,5
artifacts/bon-jovi-best-of-bon-jovi,0,5
artifacts/bonnie-raitt-nick-of-time-pvg-book,0,5
artifacts/bonnie-raitt-road-tested-pvg-book,0,5
artifacts/bonnie-tyler-hot-songs,0,5
artifacts/bread-best-of-bread,0,5
artifacts/broadway-shows-a-treasury-of-gilbert-sullivan-part-1,0,5
artifacts/broadway-shows-a-treasury-of-gilbert-sullivan-part-2,0,5
artifacts/broadway-shows-lambert-and-morrison-the-drowsy-chaperone-version-1,0,5
artifacts/broadway-shows-lambert-and-morrison-the-drowsy-chaperone-version-2,0,5
artifacts/broadway-shows-lerner-and-loewe-camelot,0,5
artifacts/broadway-shows-mamma-mia,0,5
artifacts/broadway-shows-rogers-and-hammerstein-south-pacific,0,5
artifacts/broadway-shows-steven-sondheim-all-sondheim-volume-2-book,0,5
artifacts/broadway-shows-the-wedding-singer,0,5
artifacts/broadway-shows-various-artists-25th-annual-putnam-county-spelling-bee,0,2
artifacts/broadway-shows-various-artists-aida,0,5
artifacts/broadway-shows-various-artists-aladdin-book,0,5
artifacts/broadway-shows-various-artists-aladdin-jr,0,5
artifacts/broadway-shows-various-artists-annie-full-score,0,5
artifacts/broadway-shows-various-artists-avenue-q-full-score,0,5
artifacts/broadway-shows-various-artists-avenue-x-vocal-chorus-book,0,5
artifacts/broadway-shows-various-artists-beauty-and-the-beast-1994-mti-pc-score-complete,0,5
artifacts/broadway-shows-various-artists-beauty-and-the-beast-score,0,5
artifacts/broadway-shows-various-artists-best-in-broadway-deluxe-edition,0,5
artifacts/broadway-shows-various-artists-cabaret-1998-version,0,5
artifacts/broadway-shows-various-artists-cabaret-original,0,5
artifacts/broadway-shows-various-artists-cats-conductor-score,0,5
artifacts/broadway-shows-various-artists-chicago-1975,0,5
artifacts/broadway-shows-various-artists-dear-evan-hansen-pvg,0,5
artifacts/broadway-shows-various-artists-dirty-rotten-scoundrels-piano-vocal,0,5
artifacts/broadway-shows-various-artists-evita-conductor-score,0,5
artifacts/broadway-shows-various-artists-evita-score,0,5
artifacts/broadway-shows-various-artists-footloose-score,0,5
artifacts/broadway-shows-various-artists-grease-1994-score,0,5
artifacts/broadway-shows-various-artists-grease-2003-score,0,5
artifacts/broadway-shows-various-artists-hair-rev-1995-piano-conductor-score,0,5
artifacts/broadway-shows-various-artists-high-school-musical-1-libretto,0,2
artifacts/broadway-shows-various-artists-high-school-musical-score,0,5
artifacts/broadway-shows-various-artists-jesus-christ-superstar,0,5
artifacts/broadway-shows-various-artists-legally-blonde-score,0,5
artifacts/broadway-shows-various-artists-les-miserables-full-score,0,5
artifacts/broadway-shows-various-artists-les-miserables-piano-conductor,0,5
artifacts/broadway-shows-various-artists-les-miserables-piano-conductor-complete,0,5
artifacts/broadway-shows-various-artists-lion-king-score,0,5
artifacts/broadway-shows-various-artists-little-mermaid-workshop-score,0,5
artifacts/broadway-shows-various-artists-little-shop-of-horrors-broadway,0,5
artifacts/broadway-shows-various-artists-little-shop-of-horrors-original,0,5
artifacts/broadway-shows-various-artists-little-shop-of-horrors-script,0,2
artifacts/broadway-shows-various-artists-mary-poppins,0,5
artifacts/broadway-shows-various-artists-phantom-of-opera-satb,0,5
artifacts/broadway-shows-various-artists-phantom-of-the-opera,0,5
artifacts/broadway-shows-various-artists-phantom-of-the-opera-score,0,5
artifacts/broadway-shows-various-artists-rent-score,0,5
artifacts/broadway-shows-various-artists-rocky-horror-show,0,5
artifacts/broadway-shows-various-artists-rocky-horror-show-revised-full-score,0,5
artifacts/broadway-shows-various-artists-seussical-piano-conductor,0,5
artifacts/broadway-shows-various-artists-seussical-pv-score,0,5
artifacts/broadway-shows-various-artists-seussical-tya,0,5
artifacts/broadway-shows-various-artists-shrek-the-musical,0,2
artifacts/broadway-shows-various-artists-sound-of-music,0,5
artifacts/broadway-shows-various-artists-sound-of-music-vocal-selections,0,5
artifacts/broadway-shows-various-artists-spamalot,0,5
artifacts/broadway-shows-various-artists-sweeney-todd-vocal-score,0,5
artifacts/broadway-shows-various-artists-the-hobbit-score,0,5
artifacts/broadway-shows-various-artists-the-ultimate-broadway-fakebook,0,5
artifacts/broadway-shows-various-artists-wicked-pvg,0,5
artifacts/broadway-shows-various-artists-wicked-score,0,5
artifacts/broadway-shows-various-artists-wizard-of-oz-piano-conductor,0,5
artifacts/broadway-shows-various-artists-wizard-of-oz-rsc-piano-conductor,0,5
artifacts/broadway-shows-various-artists-you-re-a-good-man-charlie-brown-revival-score,0,5
artifacts/broadway-shows-various-artists-you-re-a-good-man-charlie-brown-score,0,5
artifacts/broadway-shows-wicked-workshop,0,2
artifacts/bruce-springsteen-born-in-the-usa,0,5
artifacts/bruce-springsteen-born-to-run,0,5
artifacts/bruce-springsteen-greatest-hits,0,5
artifacts/bruce-springsteen-lucky-town,0,5
artifacts/buddy-holly-golden-anniversary-songbook,0,5
artifacts/burl-ives-song-book,0,5
artifacts/burt-bacharach-40-golden-songs-of,0,5
artifacts/burt-bacharach-anthology,0,5
artifacts/burt-bacharach-bacharach-collection,0,5
artifacts/c080b126fdbb7dfa,0,5
artifacts/c09b331fd69767ca,0,5
artifacts/c0d6738d36ae5703,0,5
artifacts/c1bb0fff38111074,0,5
artifacts/c22f1234900ddf8f,0,5
artifacts/c237d5e7fba78651,0,5
artifacts/c278f19af21fd8ff,0,5
artifacts/c28048f134b090b1,0,5
artifacts/c2b43b65c242c991,0,5
artifacts/c2cb10aa834472a6,0,5
artifacts/c2cf7aaf7c77157f,0,5
artifacts/c35d3466a9eedb2d,0,5
artifacts/c3fb0816d2a1db38,0,5
artifacts/c4782f0f346e6b7d,0,5
artifacts/c4babb3ffeab0d16,0,5
artifacts/c5b62501647cfe57,0,5
artifacts/c5ba407eb56e7f5b,0,5
artifacts/c76c9443cb7abe86,0,5
artifacts/c7e0904f92369d5e,0,5
artifacts/c7e8b3aaa3231808,0,5
artifacts/c80600da7b9c76a0,0,5
artifacts/c810224de5a2d7a8,0,5
artifacts/c8b78b71aee66b66,0,5
artifacts/c8c4eadb35f015e0,0,5
artifacts/ca766c99ab862fd6,0,5
artifacts/ca862ea07ad8d787,0,5
artifacts/ca9d030c35ef6560,0,5
artifacts/carole-king-bradley-s-best-of-the-best-organ,0,5
artifacts/carole-king-classics,0,5
artifacts/carole-king-classics-2,0,5
artifacts/carole-king-classics-3,0,5
artifacts/carole-king-keyboard-play-along-vol-22,0,5
artifacts/carole-king-tapestry,0,5
artifacts/carole-king-the-new-best-of-carole-king,0,5
artifacts/carole-king-you-re-the-voice,0,5
artifacts/carpenters-anthology,0,5
artifacts/carpenters-love-songs,0,5
artifacts/carpenters-note-for-note,0,5
artifacts/cb5e54e90eb9f902,0,5
artifacts/cb76ed43df605767,0,5
artifacts/cb834399a778cfa3,0,5
artifacts/cb90390edbaeceb2,0,5
artifacts/cbcbc65aab14fa4c,0,5
artifacts/cc33b5d57af5a9f7,0,5
artifacts/cc542009840f1382,0,5
artifacts/ccfcfa22dede9987,0,5
artifacts/cd9bc982716ee38e,0,5
artifacts/cda4a98a3ffe3c11,0,5
artifacts/ce4c4c5cf1c8fa0c,0,5
artifacts/ce722c5adffa1406,0,5
artifacts/ce9df43dfdc4bc85,0,5
artifacts/cf2f4f7ba8a0ce16,0,5
artifacts/cf65ae1207839863,0,5
artifacts/cheap-trick-greatest-hits-score,0,5
artifacts/colbie-caillat-breakthrough-pvg-book,0,5
artifacts/cole-porter-the-very-best-of-cole-porter,0,5
artifacts/complete-success,0,5
artifacts/cream-cream-complete,0,5
artifacts/creedence-clearwater-revival-8-pcs-book,0,5
artifacts/creedence-clearwater-revival-best-of,0,5
artifacts/creedence-clearwater-revival-guitar-anthology,0,5
artifacts/creedence-clearwater-revival-guitar-tab-book,0,5
artifacts/creedence-clearwater-revival-ultimate-minus-one,0,5
artifacts/crosby-stills-and-nash-crosby-stills-nash-young-deja-vu-pvg-book,0,5
artifacts/crowded-house-the-very-best-of-pvg-book,0,5
artifacts/crowded-house-together-alone-pvg-book,0,5
artifacts/d009f571784798e6,0,5
artifacts/d0ad8a68953d2935,0,5
artifacts/d14a1636875c641c,0,5
artifacts/d17c6753233523bc,0,5
artifacts/d1b585f6709c1bce,0,5
artifacts/d2ff39d539f2e889,0,5
artifacts/d308b78682b1a2e6,0,5
artifacts/d31f56b64b5ee7f2,0,5
artifacts/d3676d7542d3a639,0,5
artifacts/d4578b8c6a0f29a9,0,5
artifacts/d45a9e7d1c3fc3fc,0,5
artifacts/d561c8d34d37b733,0,5
artifacts/d5d0ee3a592e30b2,0,5
artifacts/d5d5ca80252eaf0f,0,5
artifacts/d62c683b5cf87fda,0,5
artifacts/d642618e26321ce7,0,5
artifacts/d6476067196204a0,0,5
artifacts/d65ab265b1ea8b87,0,5
artifacts/d66eb14ab6188c20,0,5
artifacts/d6aaba44a75114ac,0,5
artifacts/d73af0e246878f64,0,5
artifacts/d7988a00c0f09742,0,5
artifacts/d7a049efedeeaa1b,0,2
artifacts/d7a948a59e12b26e,0,5
artifacts/d7b5324ef6c6aade,0,5
artifacts/d816d9c17ba8bce0,0,5
artifacts/d8f6f0ba99943489,0,5
artifacts/d958789d950e5915,0,5
artifacts/d9601ec0a0e26b8d,0,5
artifacts/d9bd53be21137c12,0,5
artifacts/d9d27279b3f1683c,0,5
artifacts/david-crosby-songbook-lead-sheets,0,5
artifacts/db292561362cb1ed,0,5
artifacts/dbccd1d0652ffc2a,0,5
artifacts/dbd63849f7e45ca4,0,5
artifacts/dcb6758f1bd1b7b8,0,5
artifacts/dcba89a43766fb78,0,5
artifacts/dd323f80b0480801,0,5
artifacts/dd327aa0d08b9344,0,5
artifacts/dddf0ef8fa1a1d79,0,5
artifacts/de53f081d483217f,0,5
artifacts/dfb323f75fd6f4ef,0,5
artifacts/dffd65f706fb250a,0,5
artifacts/dire-straits---mark-knopfler-guitar-styles-vol-1--guitar-book-,0,2
artifacts/dire-straits-best-of-dire-straits-guitar-tab,0,5
artifacts/dire-straits-brothers-in-arms,0,5
artifacts/dire-straits-jam-with-dire-straits-guitar-book,0,5
artifacts/dire-straits-mark-knopfler-guitar-styles-vol-1-guitar-book,0,2
artifacts/dire-straits-money-for-nothing-guitar-book,0,5
artifacts/don-henley-actual-miles-greatest-hits,0,5
artifacts/don-henley-the-end-of-the-innocence-pvg-book,0,5
artifacts/doobie-brothers-best-of-band-score-jap,0,5
artifacts/doobie-brothers-songs,0,5
artifacts/doors-anthology,0,5
artifacts/doors-songbook,0,5
artifacts/dr-john-new-orleans-piano-vol-2,0,5
artifacts/duran-duran-best-of-score,0,5
artifacts/duran-duran-decade-pvg-book,0,5
artifacts/duran-duran-seven-the-ragged-tiger-jap-band-score,0,5
artifacts/e06f51740325bdfa,0,5
artifacts/e120087f02d2213f,0,5
artifacts/e167d01482f41b2b,0,5
artifacts/e177db8693454a68,0,5
artifacts/e2db1c83d39f5547,0,5
artifacts/e35a527565c17c87,0,5
artifacts/e364d7a2988e2413,0,5
artifacts/e3767839830d362e,0,5
artifacts/e43127870f32a6ef,0,5
artifacts/e45b55ac836ab6cc,0,5
artifacts/e46e7ad6a8138ed9,0,5
artifacts/e4760b01e2a57ebb,0,5
artifacts/e4efc2ff934927bd,0,2
artifacts/e578c07775b786e1,0,5
artifacts/e5ae548989836b9b,0,5
artifacts/e60feadf5fc66423,0,2
artifacts/e677dd7fc5248ab9,0,5
artifacts/e695b245c03c8096,0,5
artifacts/e6ba206f3c107bd7,0,5
artifacts/e6d02f7a0067b5d2,0,5
artifacts/e789044e4020597c,0,5
artifacts/e839177ca46e8a43,0,5
artifacts/e83e36ba14405829,0,5
artifacts/e8e8758626f07155,0,5
artifacts/e94323eedb956b19,0,5
artifacts/ea1cabc46dcc546a,0,5
artifacts/eagles-greatest-hits,0,5
artifacts/eagles-greatest-hits-1971-1975,0,5
artifacts/eagles-hotel-california-guitar-songbook,0,5
artifacts/eagles-made-easy-for-guitar,0,5
artifacts/eagles-new-eagles-complete,0,5
artifacts/eagles-the-best-of-the-eagles-songbook,0,5
artifacts/ec1dba4c078bff7b,0,5
artifacts/ed1995bca1ca8ae0,0,5
artifacts/ed3b8ff2390bd546,0,5
artifacts/ed3da48923768a5a,0,5
artifacts/ed9510bed3484512,0,5
artifacts/edb15d7c82b58b91,0,5
artifacts/edea6a9f4a4847d5,0,5
artifacts/edeceba7dcafbf17,0,5
artifacts/ee48c2551dfc461d,0,5
artifacts/eef11e4a3ab90609,0,5
artifacts/ef297196796237fb,0,5
artifacts/ef61bb55ed53864e,0,5
artifacts/ef87ba668409148a,0,5
artifacts/elo-a-new-world-record,0,5
artifacts/elo-anthology-pvg,0,5
artifacts/elo-discovery-pvg-book,0,5
artifacts/elo-elton-john-the-elton-john-collection-piano-solos,0,5
artifacts/elo-face-the-music-pvg-bok,0,5
artifacts/elo-greatest-hits,0,5
artifacts/elo-out-of-the-blue-book,0,5
artifacts/elton-john-a-single-man,0,5
artifacts/elton-john-captain-fantastic,0,5
artifacts/elton-john-goodbye-yellow-brick-road,0,5
artifacts/elton-john-greatest-hits-1970-2002,0,5
artifacts/elton-john-ice-on-fire,0,5
artifacts/elton-john-made-in-england,0,5
artifacts/elton-john-peachtree-road,0,5
artifacts/elton-john-reg-strikes-back,0,5
artifacts/elton-john-sleeping-with-the-past,0,5
artifacts/elton-john-songs-from-the-west-coast,0,5
artifacts/elton-john-the-big-picture,0,5
artifacts/elton-john-the-one,0,5
artifacts/elton-john-the-ultimate-collection-vol-1,0,5
artifacts/elton-john-the-ultimate-collection-vol-2,0,5
artifacts/elton-john-the-very-best-of,0,5
